"name[Blue Spice], eatType[coffee shop], area[city centre]"	In the city centre is a coffee shop called Blue Spice.
"name[Blue Spice], eatType[coffee shop], area[riverside]"	Blue Spice is a riverside coffee shop.
"name[Blue Spice], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]"	Near Crowne Plaza Hotel is a 5 out of 5 rated coffee shop called Blue Spice.
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]"	Blue Spice is an average rated coffee shop near Burger King.
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Crowne Plaza Hotel]"	Blue Spice is an average rated coffee shop near Crowne Plaza Hotel.
"name[Blue Spice], eatType[pub], area[city centre]"	Blue Spice is a pub in the city centre.
"name[Blue Spice], eatType[pub], area[riverside]"	Blue Spice is a pub in the riverside area.
"name[Blue Spice], eatType[pub], customer rating[5 out of 5], near[Crowne Plaza Hotel]"	Blue Spice is a pub near Crowne Plaza Hotel with a customer rating of 5 out of 5.
"name[Blue Spice], eatType[pub], customer rating[average], near[Burger King]"	Blue Spice is a pub near Burger King with an average customer rating.
"name[Blue Spice], eatType[pub], customer rating[average], near[Crowne Plaza Hotel]"	Blue Spice is a pub near Crowne Plaza Hotel with an average customer rating.
"name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	Blue Spice is a chinese pub in the city centre near Rainbow Vegetarian Café. It is not family friendly.
"name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Blue Spice is a family friendly chinese pub in the city centre near Rainbow Vegetarian Café.
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]"	Blue Spice is a chinese pub in the riverside area near Rainbow Vegetarian Café. It is not family friendly.
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Blue Spice is a family friendly pub that serves chinese food. It is located in the riverside area near Rainbow Vegetarian Café.
